fragment,n_fragment
CO,1756
C1CCCCC1,276
OP,1454
P,911
O=P,343
CN,1028
C1=CNC=NC1,99
C1=CNCCN1,63
CC,3869
N,41
C1=CC=CC=C1,83
C,2068
C=O,701
C=C,456
C1CCCC1,136
UNK,5
C1CNCCN1,30
C1=NCCCN1,50
NO,34
C1=NCCNC1,33
C1=CNCC=N1,47
CS,36
C1COPOPOC1,11
C1CCOC1,308
C1=NCCN1,63
C1=CN=CN=C1,77
C1=CCCCC1,34
C1=CCCC=C1,34
C1=CC=NC=C1,8
C1CN2CCC1CC2,4
C1CCOCC1,157
C1=CNCN=C1,80
C1=CNCNC1,18
C1=C[NH]C=C1,121
C1=C[NH]C=N1,25
C=N,14
C1CNC1,9
C1CSCN1,12
C1CC2CC(O1)O2,4
P=S,3
O=S,13
S,18
OS,23
CCl,21
C1=CCNC1,123
C1=CCN=C1,30
C1=CCOCC1,24
C1COPOC1,10
C1CC2CCC1C2,19
C1CCC1,6
