frag_id,fragment,count
0,CC,3869
1,C,2068
2,CO,1756
3,OP,1454
4,CN,1028
5,P,911
6,C=O,701
7,C=C,456
8,O=P,343
9,C1CCOC1,308
10,C1CCCCC1,276
11,C1CCOCC1,157
12,C1CCCC1,136
13,C1=CCNC1,123
14,C1=C[NH]C=C1,121
15,C1=CNC=NC1,99
16,C1=CC=CC=C1,83
17,C1=CNCN=C1,80
18,C1=CN=CN=C1,77
19,C1=NCCN1,63
20,C1=CNCCN1,63
21,C1=NCCCN1,50
22,C1=CNCC=N1,47
23,N,41
24,CS,36
25,C1=CCCC=C1,34
26,C1=CCCCC1,34
27,NO,34
28,C1=NCCNC1,33
29,C1CNCCN1,30
30,C1=CCN=C1,30
31,C1=C[NH]C=N1,25
32,C1=CCOCC1,24
33,OS,23
34,CCl,21
35,C1CC2CCC1C2,19
36,S,18
37,C1=CNCNC1,18
38,C=N,14
39,O=S,13
40,C1CSCN1,12
41,C1COPOPOC1,11
42,C1COPOC1,10
43,C1CNC1,9
44,C1=CC=NC=C1,8
45,C1CCC1,6
46,C1CC2CC(O1)O2,4
47,C1CN2CCC1CC2,4
48,P=S,3
49,C1CCSC1,2
50,C1CNCN1,2
51,C1CCCNCCCCCCNCC1,1
